,MESH:D005923,MESH:D009503,MESH:D016115,MESH:D018476,MESH:C567059,MESH:D010198,MESH:D007898,MESH:C574275,MESH:D001249,MESH:C535836,MESH:D020149,MESH:D009325,MESH:D001943,MESH:D006943,MESH:D013612,MESH:D014517,MESH:D001281,MESH:C537758,MESH:D010391,MESH:D002538,MESH:D058489,MESH:D012770,MESH:D009205,MESH:D018500,MESH:D009374,MESH:C567064,MESH:D007805,MESH:D006332,MESH:D007035,MESH:D009389,MESH:C535531,MESH:D009767,MESH:D000037,MESH:D001002,MESH:D007634,MESH:C535575,MESH:D010212,MESH:D018281,MESH:C566381,MESH:D000544,MESH:D016535,MESH:D005334,MESH:D004830,MESH:D009765,OMIM:613721,MESH:D046628,MESH:D012128,MESH:D005922,MESH:D001927,MESH:D054559,MESH:D001157,MESH:D012220,MESH:C535504,MESH:D066126,MESH:D001254,MESH:D016108,MESH:D006527,MESH:D052496,MESH:D019964,MESH:C566899,MESH:D008268,MESH:D020258,MESH:D000647,MESH:D010300,MESH:D012829,MESH:D006528,MESH:D012131,MESH:D013927,MESH:D008106,MESH:D058447,MESH:D001171,MESH:D001724,MESH:D018754,MESH:D006330,MESH:D020261,MESH:D004443,MESH:D016301,OMIM:168600,OMIM:256600,MESH:D009393,MESH:D006519,MESH:D007674,OMIM:606771,MESH:D003248,MESH:D055963,MESH:D009362,MESH:D002779,MESH:D010922,MESH:D006501,MESH:D001847,MESH:D006967,MESH:D016410,MESH:D009101,MESH:D055501,MESH:D014424,MESH:D056486,MESH:D018879,MESH:D020642,MESH:D060050,MESH:D019969
MESH:D005923,0.9999998,0.99999696,0.99993306,0.9999934,0.99996185,0.99999535,0.9999979,-0.97186583,0.9999902,0.9999857,0.9999982,0.9999964,0.99998075,0.99999833,-0.99476063,0.9999918,0.999998,0.9993921,0.9999939,0.9999963,0.99998355,0.9999955,0.9999986,0.99998736,0.9999939,0.99975675,0.9999714,0.9999954,0.9999944,0.99999464,0.9999856,0.999992,0.9999855,0.99999255,0.99999505,0.999998,0.9999984,0.9999987,0.99993265,0.9999838,0.99999905,0.9999966,0.99999034,0.9999924,-0.9981105,-0.9986578,0.9999952,0.9999986,0.99999636,0.99992096,0.99996233,0.9999935,0.99442995,0.9999662,0.999995,0.99994403,0.9999989,0.99998426,0.9999873,0.99956477,0.99999565,0.9999934,0.9999983,0.999993,0.99999905,0.99998724,0.9999967,0.999996,0.9999836,0.9999478,0.9999969,0.9999959,0.9999994,0.9999992,0.9999971,0.9999931,0.9999578,0.9999861,-0.99944675,0.99999493,0.9999991,0.9999904,0.99995816,0.9999919,0.9999934,0.99998707,0.9999955,0.99999917,0.99999744,0.9999791,0.99999374,0.9999982,0.99999756,-0.998587,0.9999941,0.9999912,0.9999944,0.999995,0.9999991,0.99998856
MESH:D009503,0.99999696,0.99999994,0.999931,0.9999878,0.9999685,0.9999943,0.9999953,-0.97177166,0.99998647,0.9999913,0.99999404,0.9999952,0.99997884,0.9999931,-0.9946361,0.9999947,0.9999974,0.999405,0.99999404,0.9999964,0.99998665,0.9999921,0.9999952,0.99998957,0.99998796,0.99977595,0.9999703,0.9999922,0.9999908,0.99999434,0.9999826,0.9999907,0.9999871,0.99998444,0.99999607,0.99999297,0.9999934,0.9999943,0.99994063,0.99997765,0.99999523,0.9999927,0.9999861,0.99998957,-0.9981877,-0.99868834,0.9999884,0.99999547,0.99998945,0.9999385,0.9999666,0.9999978,0.9945105,0.99995583,0.9999983,0.99995345,0.9999955,0.9999881,0.9999764,0.9995747,0.9999937,0.99998826,0.9999969,0.99999076,0.9999959,0.9999862,0.9999913,0.99999285,0.9999831,0.9999452,0.99999225,0.9999933,0.9999955,0.99999833,0.99999166,0.99998564,0.9999676,0.99998164,-0.9994483,0.999992,0.99999577,0.9999831,0.99995106,0.99999064,0.99999493,0.9999812,0.9999899,0.9999955,0.9999965,0.99997884,0.99999124,0.99999166,0.99999315,-0.99861753,0.9999828,0.99999285,0.9999872,0.9999852,0.9999945,0.99998486
MESH:D016115,0.99993306,0.999931,1.0,0.99993306,0.9998827,0.99993896,0.99993914,-0.9704253,0.99994767,0.9999168,0.99993414,0.99993986,0.99995136,0.99994135,-0.99434257,0.999919,0.99993926,0.99932075,0.9999321,0.9999187,0.9998908,0.9999237,0.9999175,0.99992377,0.99993265,0.9997174,0.9998705,0.9999436,0.9999481,0.99993193,0.999917,0.9999176,0.9999063,0.9999532,0.9999236,0.99993867,0.9999388,0.9999377,0.9998593,0.99995023,0.99992454,0.9999418,0.9999648,0.9999506,-0.9979927,-0.99818605,0.9999423,0.999936,0.99994344,0.99984163,0.99990076,0.9999481,0.99436927,0.99997485,0.99994236,0.99985504,0.9999352,0.9999034,0.9999428,0.9995328,0.99991417,0.99995154,0.99994105,0.999954,0.9999257,0.99994826,0.99993664,0.9999353,0.9999443,0.9999746,0.99994737,0.9999221,0.99993277,0.99992925,0.99993366,0.9999581,0.99989533,0.9999152,-0.9991923,0.9999527,0.9999247,0.99994963,0.9999337,0.9999378,0.999917,0.99994236,0.9999314,0.9999236,0.99994546,0.9998889,0.9999411,0.99993306,0.9999418,-0.99821365,0.9999287,0.99995494,0.9999497,0.999921,0.9999276,0.9999595
MESH:D018476,0.9999934,0.9999878,0.99993306,1.0,0.9999726,0.99999505,0.9999894,-0.9712271,0.9999743,0.9999769,0.99999017,0.999985,0.999961,0.9999927,-0.9946787,0.999987,0.9999941,0.9994432,0.99999535,0.9999949,0.99998283,0.9999956,0.999993,0.9999892,0.9999793,0.9997965,0.9999812,0.99998516,0.9999814,0.999992,0.9999912,0.99999374,0.9999877,0.9999898,0.99999416,0.9999871,0.99998915,0.9999907,0.9999484,0.99996716,0.9999925,0.99998635,0.99998206,0.99998105,-0.99795353,-0.998618,0.99998575,0.99999315,0.99998707,0.99993163,0.9999727,0.9999832,0.99465734,0.9999591,0.99998564,0.9999572,0.99999154,0.9999873,0.99998623,0.9996159,0.9999938,0.99998194,0.99999404,0.99998516,0.99999416,0.9999689,0.9999872,0.9999835,0.9999625,0.9999616,0.9999878,0.99999577,0.9999929,0.9999901,0.99998695,0.99998695,0.9999641,0.9999941,-0.99939215,0.9999856,0.9999944,0.999978,0.99998033,0.9999921,0.9999903,0.9999702,0.9999854,0.9999952,0.99998856,0.9999829,0.9999789,0.99999183,0.99998784,-0.9985808,0.9999903,0.9999764,0.9999965,0.999995,0.99999505,0.9999768
MESH:C567059,0.99996185,0.9999685,0.9998827,0.9999726,0.99999994,0.99997973,0.99994874,-0.970645,0.9999185,0.9999611,0.99994653,0.99994427,0.99990135,0.9999534,-0.99427724,0.99998456,0.9999729,0.9994957,0.99997723,0.99997896,0.9999896,0.9999791,0.9999616,0.9999846,0.9999267,0.9998815,0.9999927,0.9999373,0.99993175,0.99998116,0.9999877,0.99997693,0.99999243,0.9999472,0.9999802,0.9999432,0.9999484,0.99994856,0.99999416,0.9999022,0.9999577,0.9999395,0.9999387,0.99993,-0.99809927,-0.9988507,0.99993706,0.99996716,0.99993896,0.99998695,0.999995,0.99996126,0.99517965,0.99989593,0.99996394,0.9999973,0.9999519,0.9999949,0.9999227,0.99960953,0.9999792,0.9999305,0.9999678,0.9999388,0.9999606,0.999916,0.9999509,0.99993813,0.99990815,0.999927,0.99994206,0.9999797,0.99995536,0.99996126,0.99993956,0.99994296,0.99999326,0.999986,-0.99946225,0.99995446,0.9999614,0.99992156,0.99994725,0.9999631,0.99998504,0.9999073,0.99993384,0.9999635,0.99995244,0.9999916,0.99993044,0.9999539,0.9999428,-0.99877906,0.999939,0.9999397,0.9999635,0.99995583,0.99995893,0.99992436
MESH:D010198,0.99999535,0.9999943,0.99993896,0.99999505,0.99997973,0.99999994,0.9999901,-0.9714434,0.9999769,0.9999802,0.99998903,0.99998766,0.999967,0.9999937,-0.99462724,0.99999636,0.9999983,0.99940515,0.9999963,0.99999607,0.99998945,0.9999986,0.99999183,0.99999374,0.99998075,0.9997974,0.9999828,0.9999854,0.999984,0.9999992,0.9999954,0.9999946,0.999994,0.9999904,0.99999684,0.9999893,0.99999183,0.9999912,0.999959,0.9999699,0.9999922,0.9999869,0.99998796,0.99998176,-0.99809676,-0.9986862,0.9999876,0.99999726,0.9999885,0.99994415,0.9999812,0.99999195,0.99463195,0.9999639,0.9999936,0.99996454,0.99999136,0.99999315,0.99997574,0.9995745,0.99999714,0.99998444,0.99999785,0.9999857,0.9999927,0.99997413,0.9999924,0.99998546,0.9999694,0.99995875,0.99998933,0.99999815,0.9999926,0.9999941,0.9999868,0.99998987,0.9999745,0.99999404,-0.9994596,0.99999416,0.9999929,0.9999809,0.99996597,0.9999915,0.9999975,0.9999714,0.999983,0.9999936,0.999992,0.99998945,0.99998206,0.9999935,0.99998915,-0.99860656,0.99998605,0.9999846,0.9999959,0.9999901,0.9999929,0.99998075
MESH:D007898,0.9999979,0.9999953,0.99993914,0.9999894,0.99994874,0.9999901,1.0,-0.971963,0.99999505,0.9999837,0.99999934,0.9999996,0.99998915,0.9999983,-0.994825,0.99998426,0.9999945,0.9993662,0.9999924,0.99999195,0.9999734,0.9999887,0.99999595,0.9999821,0.99999607,0.9997338,0.99995726,0.9999993,0.99999744,0.99998784,0.99997455,0.9999893,0.99997485,0.9999897,0.99999195,0.99999833,0.99999815,0.9999996,0.99991405,0.9999906,0.99999815,0.9999994,0.9999919,0.9999975,-0.99806947,-0.9985719,0.99999684,0.99999404,0.99999666,0.99990714,0.99994826,0.9999946,0.9943,0.9999707,0.9999955,0.9999293,0.99999964,0.99997526,0.9999898,0.9995786,0.99998903,0.9999969,0.9999967,0.9999974,0.99999803,0.99999374,0.99999446,0.9999989,0.99999094,0.99995023,0.999999,0.99998957,0.99999917,0.99999803,0.9999986,0.9999913,0.9999442,0.9999754,-0.9994048,0.9999928,0.9999977,0.9999937,0.99995905,0.9999938,0.99998623,0.9999923,0.99999845,0.99999696,0.9999995,0.9999658,0.99999774,0.99999535,0.99999917,-0.9985034,0.99999243,0.9999939,0.9999902,0.99999,0.9999978,0.99999434
MESH:C574275,-0.97186583,-0.97177166,-0.9704253,-0.9712271,-0.970645,-0.9714434,-0.971963,0.99999994,-0.9722039,-0.9713872,-0.97199136,-0.9720682,-0.97236574,-0.9719372,0.9829654,-0.971544,-0.9715586,-0.9653847,-0.97142047,-0.97152376,-0.9714198,-0.97158444,-0.9718697,-0.97123593,-0.97235686,-0.9674375,-0.9711217,-0.972021,-0.97209156,-0.9715192,-0.9711986,-0.97162235,-0.9712174,-0.9716155,-0.97153187,-0.9721313,-0.9721013,-0.9720094,-0.9701431,-0.9723813,-0.9719936,-0.9720599,-0.9718409,-0.9719851,0.97277796,0.9726961,-0.972199,-0.9717479,-0.97211796,-0.97009337,-0.97052985,-0.9716965,-0.9465274,-0.9718328,-0.9717845,-0.97041696,-0.9719535,-0.9711883,-0.97160614,-0.96775484,-0.9717205,-0.9721271,-0.97172767,-0.97179985,-0.97184414,-0.9722403,-0.9721392,-0.97221416,-0.97241277,-0.9701563,-0.97202075,-0.97157115,-0.9719041,-0.97197837,-0.9721735,-0.9717554,-0.9703559,-0.97107387,0.9755091,-0.97189087,-0.97181875,-0.97228724,-0.97032744,-0.97156954,-0.9715778,-0.97236043,-0.9721694,-0.97178966,-0.9718932,-0.9713076,-0.97222984,-0.97202003,-0.97207177,0.9684891,-0.97203,-0.9718933,-0.9713912,-0.9717443,-0.9718233,-0.9720624
MESH:D001249,0.9999902,0.99998647,0.99994767,0.9999743,0.9999185,0.9999769,0.99999505,-0.9722039,1.0000001,0.99997437,0.99999493,0.9999962,0.9999972,0.9999918,-0.99483186,0.9999696,0.9999848,0.9993207,0.999976,0.99997693,0.9999519,0.99997425,0.99998623,0.9999629,0.99999744,0.99968237,0.9999284,0.99999744,0.99999946,0.9999751,0.9999557,0.99997044,0.99995464,0.9999871,0.9999754,0.9999962,0.99999416,0.9999947,0.9998793,0.999998,0.9999892,0.9999974,0.9999921,0.9999981,-0.99813914,-0.9985043,0.9999945,0.9999863,0.9999954,0.9998701,0.99992317,0.99998826,0.9940804,0.9999774,0.9999874,0.9998935,0.9999937,0.99995244,0.9999886,0.9995215,0.9999739,0.9999982,0.99998695,0.99999577,0.9999886,0.99999905,0.9999901,0.9999968,0.9999975,0.9999425,0.9999969,0.9999745,0.9999921,0.9999901,0.999996,0.99999094,0.9999205,0.9999563,-0.99939156,0.9999899,0.9999879,0.99999654,0.99993694,0.9999798,0.99997026,0.9999993,0.9999962,0.9999866,0.9999943,0.9999428,0.9999988,0.99998957,0.99999666,-0.9984521,0.9999877,0.99999547,0.9999814,0.9999807,0.9999888,0.99999624
MESH:C535836,0.9999857,0.9999913,0.9999168,0.9999769,0.9999611,0.9999802,0.9999837,-0.9713872,0.99997437,1.0000001,0.9999836,0.9999834,0.9999638,0.99997735,-0.99452937,0.9999862,0.9999853,0.9995197,0.99998194,0.99998915,0.9999837,0.9999787,0.9999881,0.99998474,0.999977,0.99981475,0.9999619,0.9999795,0.9999788,0.99998116,0.9999683,0.9999776,0.99997985,0.9999666,0.9999856,0.99998033,0.9999792,0.9999815,0.9999327,0.9999608,0.9999851,0.9999799,0.9999647,0.9999756,-0.99823827,-0.9987147,0.9999712,0.9999828,0.9999733,0.99994373,0.99995404,0.99998707,0.99472994,0.9999309,0.99998593,0.99995196,0.99998397,0.99997896,0.99996823,0.99962664,0.99998266,0.99997157,0.99998105,0.9999754,0.99998677,0.9999743,0.9999766,0.9999813,0.9999711,0.99992204,0.99997735,0.9999831,0.999985,0.99998826,0.9999798,0.99996984,0.99996877,0.99997,-0.99937457,0.99997514,0.99998707,0.9999633,0.9999401,0.9999757,0.99998486,0.99996907,0.99997896,0.99998665,0.99998325,0.999969,0.99998015,0.9999772,0.99997956,-0.9986766,0.9999674,0.99997956,0.99997115,0.99997383,0.9999845,0.9999657
