Drug1,Drug2
DB00481,DB00988
DB00252,DB00481
DB00758,DB01064
DB01065,DB03796
DB00636,DB00975
DB00184,DB00993
DB00162,DB04743
DB01017,DB01577
DB00431,DB00678
DB01296,DB04216
DB00481,DB00987
DB00091,DB00580
DB01050,DB02546
DB00515,DB00796
DB00407,DB01039
DB00338,DB01229
DB00806,DB01174
DB00541,DB01393
DB00796,DB01262
DB00399,DB00586
DB00441,DB00798
DB00328,DB02533
DB00313,DB01454
DB00136,DB03518
DB00624,DB00907
DB00798,DB01085
DB00668,DB00898
DB00550,DB00997
DB00877,DB04743
DB00441,DB00571
DB00177,DB01645
DB00279,DB00898
DB00435,DB00635
DB00712,DB00898
DB00252,DB01234
DB00166,DB00624
DB00170,DB00437
DB00822,DB01169
DB01577,DB04827
DB01254,DB01645
DB00727,DB00977
DB00407,DB00636
DB00158,DB00796
DB00675,DB01593
DB00441,DB00641
DB00316,DB00495
DB00523,DB01262
DB00675,DB00806
DB00641,DB01001
DB00331,DB00502
DB00399,DB00783
DB00162,DB00910
DB00158,DB00368
DB01183,DB03843
DB00472,DB01221
DB00834,DB00945
DB00316,DB00860
DB00126,DB01759
DB01065,DB01115
DB00201,DB01370
DB00203,DB01593
DB00499,DB01577
DB00499,DB01149
DB00928,DB03843
DB00305,DB01030
DB00136,DB00669
DB00091,DB02052
DB00841,DB01174
DB00197,DB00472
DB00871,DB00977
DB00982,DB01373
DB00564,DB01454
DB00421,DB00495
DB00970,DB01050
DB01132,DB02709
DB00126,DB00818
DB00877,DB00910
DB00947,DB01577
DB00570,DB01174
DB00512,DB01064
DB00477,DB00917
DB00947,DB01149
DB00162,DB01136
DB01645,DB03518
DB00970,DB01577
DB00203,DB00550
DB00262,DB00313
DB00783,DB03619
DB00533,DB03843
DB00566,DB00917
DB00515,DB01183
DB00586,DB02533
DB00526,DB02701
DB00501,DB04216
DB00675,DB01234
DB00175,DB04743
DB00316,DB00586
DB00188,DB00481
DB00499,DB00795
DB00307,DB01577
DB00997,DB01159
DB00091,DB01956
DB00118,DB00515
DB00203,DB01234
DB00515,DB00753
DB00197,DB00788
DB00158,DB01183
DB00746,DB01169
DB00295,DB01393
DB00563,DB01169
DB00694,DB01041
DB00305,DB00526
DB00970,DB02169
DB00550,DB00877
DB00091,DB00747
DB00421,DB00586
DB00162,DB01919
DB00834,DB01296
DB00415,DB00755
DB00860,DB01030
DB00563,DB01166
DB00477,DB00898
DB03057,DB04216
DB00694,DB00763
DB00091,DB01030
DB01394,DB01698
DB00566,DB00898
DB01356,DB04540
DB00126,DB01132
DB00624,DB01248
DB02527,DB03568
DB00531,DB04115
DB00554,DB00755
