,MESH:D005923,MESH:D009503,MESH:D016115,MESH:D018476,MESH:C567059,MESH:D010198,MESH:D007898,MESH:C574275,MESH:D001249,MESH:C535836,MESH:D020149,MESH:D009325,MESH:D001943,MESH:D006943,MESH:D013612,MESH:D014517,MESH:D001281,MESH:C537758,MESH:D010391,MESH:D002538,MESH:D058489,MESH:D012770,MESH:D009205,MESH:D018500,MESH:D009374,MESH:C567064,MESH:D007805,MESH:D006332,MESH:D007035,MESH:D009389,MESH:C535531,MESH:D009767,MESH:D000037,MESH:D001002,MESH:D007634,MESH:C535575,MESH:D010212,MESH:D018281,MESH:C566381,MESH:D000544,MESH:D016535,MESH:D005334,MESH:D004830,MESH:D009765,OMIM:613721,MESH:D046628,MESH:D012128,MESH:D005922,MESH:D001927,MESH:D054559,MESH:D001157,MESH:D012220,MESH:C535504,MESH:D066126,MESH:D001254,MESH:D016108,MESH:D006527,MESH:D052496,MESH:D019964,MESH:C566899,MESH:D008268,MESH:D020258,MESH:D000647,MESH:D010300,MESH:D012829,MESH:D006528,MESH:D012131,MESH:D013927,MESH:D008106,MESH:D058447,MESH:D001171,MESH:D001724,MESH:D018754,MESH:D006330,MESH:D020261,MESH:D004443,MESH:D016301,OMIM:168600,OMIM:256600,MESH:D009393,MESH:D006519,MESH:D007674,OMIM:606771,MESH:D003248,MESH:D055963,MESH:D009362,MESH:D002779,MESH:D010922,MESH:D006501,MESH:D001847,MESH:D006967,MESH:D016410,MESH:D009101,MESH:D055501,MESH:D014424,MESH:D056486,MESH:D018879,MESH:D020642,MESH:D060050,MESH:D019969
MESH:D005923,0.0,0.16732885,1.612193,1.0832144,1.1728853,0.80968857,0.26489353,2.0075774,0.8620629,1.2924684,0.22335865,0.7107465,1.4506977,0.039348107,2.3679292,0.7007565,0.19371298,1.8862728,0.79252625,0.43598902,1.063364,0.54670244,0.031493053,1.3699795,0.41051444,1.8214136,1.0248696,0.715795,0.30371562,0.5098189,0.8796917,0.75354457,0.9902501,0.42603728,0.638748,0.29480177,0.07242843,0.20890172,1.3236345,0.95924014,0.12795933,0.72446704,0.044452533,1.1834173,2.269216,2.2572167,0.1551982,0.20679957,0.21985193,1.4762309,0.9959248,0.44100645,1.9465894,1.239561,0.12985143,1.3548393,0.24102531,0.7688792,1.1079426,1.8583862,0.42548314,0.5229284,0.2713672,0.86661506,0.0782771,1.1695135,0.38113967,0.54024917,1.3403081,1.3094189,0.2875957,0.87803817,0.0069392496,0.07089014,0.29403517,0.84947354,1.3747556,0.9833534,2.1325471,0.3498519,0.13210323,1.2654706,1.5564926,0.63586515,0.57619905,0.86423874,0.7928604,0.14509109,0.24463,0.8440466,0.4905352,0.08584032,0.33649203,2.323621,0.0627695,1.5474823,0.9218755,0.58178693,0.11306987,0.6567958
MESH:D009503,0.16732885,0.0,1.7794453,1.2504747,1.3401258,0.976942,0.097834274,2.1748273,0.6948672,1.4597137,0.056587525,0.54351956,1.2834777,0.12830918,2.53512,0.86799544,0.36095637,2.053523,0.95977575,0.6032345,1.230609,0.71396506,0.13608801,1.5372291,0.24344696,1.9886616,1.1921198,0.548592,0.13671215,0.6770657,1.0469466,0.9207975,1.1574968,0.5933238,0.8059931,0.12778628,0.09522638,0.042277858,1.490876,0.79206944,0.29524407,0.5572663,0.12416464,1.016195,2.4364827,2.424473,0.015973479,0.3740745,0.053492166,1.6434696,1.1631632,0.6082251,2.1138372,1.4068229,0.29698303,1.5220809,0.074050054,0.9361152,1.2752099,2.0256362,0.59274024,0.35579276,0.10423899,0.6993998,0.24555936,1.0022867,0.5484188,0.3730638,1.1730789,1.4766713,0.120607704,1.0452949,0.16075848,0.09648304,0.12706216,1.0167416,1.5419978,1.1506112,2.299799,0.51711017,0.2993848,1.0982782,1.7237477,0.80311614,0.74343866,0.6970687,0.6256735,0.31237555,0.07754913,1.0112936,0.3233643,0.25315312,0.16941285,2.490877,0.22997174,1.3802291,1.089141,0.74907434,0.280372,0.48962775
MESH:D016115,1.612193,1.7794453,0.0,0.52900153,0.43941194,0.8025207,1.8770487,0.39540872,2.4741828,0.3197775,1.8355165,2.3229086,3.0627897,1.6513623,0.7563635,0.9114786,1.418514,0.27414212,0.81969136,1.1762388,0.5488962,1.0655214,1.643514,0.24226767,2.0226352,0.20929341,0.5874265,2.3279471,1.9158181,1.1024083,0.73255426,0.85868776,0.62199783,1.1862019,0.973475,1.9069592,1.6845236,1.8210634,0.28871813,2.5713243,1.4842702,2.3366294,1.6557568,2.7955592,0.65719426,0.6450868,1.7672547,1.405416,1.8319662,0.13621245,0.61637247,1.1712264,0.3344578,0.37266076,1.4824806,0.25751016,1.8531976,0.8433855,0.504277,0.24625786,1.1867521,2.1350498,1.8835281,2.478752,1.5339572,2.7816286,1.2310812,2.1524017,2.9524124,0.3028184,1.8997324,0.73417854,1.6188042,1.6830429,1.9061831,0.76273036,0.2375467,0.6288884,0.52037543,1.2623804,1.4801207,2.8776047,0.05588744,0.9763639,1.0360383,2.4763417,2.4050212,1.4671307,1.8567708,0.7682342,2.1026602,1.5264275,1.9486473,0.7115459,1.5497862,3.1596227,0.69032925,1.0304396,1.4991549,2.268883
MESH:D018476,1.0832144,1.2504747,0.52900153,0.0,0.08985696,0.27354822,1.3480791,0.9243678,1.9452363,0.20931965,1.3065436,1.7939444,2.533859,1.1223888,1.2849705,0.38251647,0.88953763,0.80306786,0.29071304,0.6472511,0.020579929,0.53653485,1.1145291,0.2867854,1.4936769,0.7382073,0.058669157,1.7989845,1.3868644,0.5734342,0.20359282,0.32970592,0.09310208,0.6572426,0.44449282,1.3779927,1.1555549,1.2920911,0.24049285,2.0423877,0.9552896,1.8076643,1.1268117,2.2666042,1.186038,1.1740439,1.2382926,0.87643975,1.3030021,0.3930537,0.08763483,0.642279,0.8633821,0.15649466,0.95352066,0.2716745,1.324223,0.31441873,0.025161864,0.77518034,0.65776473,1.6060954,1.3545524,1.9497937,1.0049742,2.2526877,0.7021185,1.6234381,2.4234774,0.22626598,1.3707689,0.20519651,1.0898265,1.154068,1.3772147,0.23380606,0.2915831,0.09993303,1.0493423,0.7334283,0.9511367,2.348653,0.47328192,0.4473945,0.5070619,1.9473982,1.8760529,0.9381449,1.3278052,0.23928744,1.5737059,0.9974521,1.419681,1.2404747,1.020811,2.6306744,0.16136357,0.5014533,0.9701712,1.7399392
MESH:C567059,1.1728853,1.3401258,0.43941194,0.08985696,0.0,0.36321142,1.4377573,0.8347301,2.0349243,0.11980595,1.3962265,1.8836184,2.6235456,1.2120696,1.1952821,0.47214022,0.97919655,0.71343374,0.38038355,0.73690486,0.10956932,0.6261925,1.2041992,0.1971753,1.5833665,0.6485614,0.14805529,1.8886666,1.4765519,0.6630789,0.29321548,0.41936943,0.18264543,0.7469395,0.53414655,1.4676743,1.2452359,1.3817725,0.15075508,2.1320841,1.0449668,1.8973454,1.2164949,2.3562858,1.0964506,1.0844688,1.327982,0.96610546,1.3926901,0.30336168,0.17700534,0.73193836,0.77373016,0.06763971,1.0431765,0.18196228,1.4139009,0.40401593,0.06576092,0.68555367,0.74741566,1.6957833,1.4442134,2.0394728,1.0946492,2.3423698,0.79180247,1.7131186,2.5131588,0.13682981,1.4604532,0.2948674,1.1795053,1.2437333,1.4669007,0.32354206,0.20190239,0.18956926,0.959723,0.8231022,1.0408119,2.4383397,0.3836856,0.537078,0.5966949,2.0370932,1.9657384,1.0278186,1.417478,0.3288658,1.6633894,1.0871327,1.5093639,1.1509026,1.11051,2.7203386,0.2510979,0.59115565,1.0598508,1.8296254
MESH:D010198,0.80968857,0.976942,0.8025207,0.27354822,0.36321142,0.0,1.0745587,1.1978979,1.67172,0.48281172,1.0330276,1.520421,2.2603421,0.8488662,1.5583804,0.108999,0.6160043,1.0765989,0.01747199,0.37373087,0.2537059,0.26300445,0.8410125,0.5603011,1.2201629,1.0117335,0.21523148,1.5254664,1.113347,0.29989144,0.07006689,0.056295317,0.18058585,0.38373822,0.17097765,1.1044707,0.88203126,1.0185714,0.51395446,1.7688757,0.68177253,1.5341445,0.8532876,1.9930855,1.4595739,1.4475715,0.9647744,0.60290796,1.0294827,0.66655177,0.18629317,0.3687535,1.136909,0.4299199,0.67998713,0.5451609,1.0507029,0.041085612,0.29833227,1.0487128,0.38423598,1.332576,1.0810201,1.6762742,0.73145735,1.9791688,0.42859712,1.3499186,2.1499581,0.4997561,1.097248,0.06838851,0.8163077,0.88053983,1.1036986,0.040120635,0.565076,0.17369121,1.322877,0.45989522,0.67762125,2.0751321,0.7468175,0.17392248,0.2335268,1.6738873,1.602539,0.6646286,1.0542796,0.034727868,1.3001876,0.7239297,1.1461605,1.5139871,0.7473089,2.357144,0.11223392,0.22798394,0.69665664,1.4664199
MESH:D007898,0.26489353,0.097834274,1.8770487,1.3480791,1.4377573,1.0745587,0.0,2.272438,0.5971941,1.5573289,0.041609146,0.44586688,1.185819,0.22571856,2.6327775,0.9656335,0.45858565,2.1511345,1.057387,0.70086336,1.3282367,0.81158406,0.23362137,1.6348426,0.14572954,2.0862765,1.2897474,0.45091155,0.039100055,0.7746993,1.1445704,1.0184076,1.2551256,0.69089586,0.90361357,0.030209187,0.19257104,0.056026086,1.5885074,0.6943719,0.39280674,0.45959014,0.2214466,0.91853696,2.5340583,2.522051,0.10993101,0.47168636,0.045446694,1.7410973,1.2608013,0.7058474,2.211454,1.5044124,0.3946146,1.619709,0.023917703,1.0337545,1.3727968,2.123243,0.69036746,0.25807294,0.008748707,0.60173845,0.34312463,0.90463513,0.6460024,0.27537182,1.0754312,1.5742726,0.022931263,1.1429098,0.25826362,0.19405793,0.029363915,1.1143345,1.6396245,1.2482289,2.3974004,0.6147075,0.3969608,1.0006084,1.8213506,0.90071094,0.8410773,0.5993772,0.5279885,0.40995765,0.02041328,1.1089296,0.22566675,0.35068044,0.071654506,2.588449,0.32736886,1.2826204,1.1867416,0.8466595,0.3779261,0.3919319
MESH:C574275,2.0075774,2.1748273,0.39540872,0.9243678,0.8347301,1.1978979,2.272438,0.0,2.8695803,0.71512383,2.2309039,2.7183,3.4581919,2.046752,0.36184585,1.3068476,1.8138958,0.12133939,1.2150646,1.571609,0.9442391,1.4608948,2.0388913,0.63760763,2.4180284,0.18617968,0.9827532,2.7233398,2.3112135,1.4977849,1.1279142,1.2540569,1.0173495,1.5815911,1.3688468,2.3023512,2.0799148,2.2164526,0.68398964,2.966726,1.8796525,2.7320218,2.0511556,3.1909542,0.26211998,0.24997707,2.1626494,1.8007994,2.2273598,0.5313833,1.0117089,1.5666145,0.061054353,0.7680634,1.8778679,0.65277445,2.2485847,1.2387394,0.8996555,0.14924137,1.5821236,2.5304475,2.2789142,2.8741453,1.9293377,3.177027,1.6264712,2.5477936,3.3478122,0.69819146,2.2951264,1.1295478,2.0141892,2.0784276,2.3015735,1.1581235,0.632843,1.0242431,0.12504208,1.6577741,1.8755001,3.2730048,0.4510968,1.3717437,1.4314079,2.8717394,2.800411,1.862509,2.2521617,1.1635807,2.498055,1.9218144,2.3440397,0.31653872,1.9451714,3.555018,1.0857109,1.4258142,1.8945359,2.6642833
MESH:D001249,0.8620629,0.6948672,2.4741828,1.9452363,2.0349243,1.67172,0.5971941,2.8695803,0.0,2.154475,0.638725,0.15147349,0.5886552,0.82288295,3.2298667,1.5627967,1.0557497,2.748278,1.6545563,1.298041,1.9253999,1.4087533,0.8307797,2.2319958,0.45159432,2.6834242,1.8869188,0.14637084,0.5583733,1.3718631,1.7417341,1.615582,1.8522892,1.2880261,1.5007889,0.5672729,0.7897091,0.653177,2.1856701,0.09731891,0.98998463,0.13770275,0.818475,0.32142982,3.131204,3.119166,0.7069788,1.0688405,0.6422654,2.338256,1.8579657,1.3029996,2.8086016,2.1015418,0.9917746,2.2168727,0.621057,1.6309292,1.9699355,2.7203894,1.2875417,0.33917385,0.5908013,0.009559287,0.940304,0.30747843,1.2431474,0.3218631,0.47827932,2.1714149,0.57448906,1.7400728,0.85544014,0.79122335,0.5680547,1.7114707,2.2367787,1.8453914,2.9945366,1.2118424,0.9941398,0.40350232,2.4185,1.4978813,1.4382483,0.0039770617,0.06960365,1.0071361,0.617473,1.7060982,0.37155297,0.9478241,0.5255819,3.1855607,0.92448014,0.68551123,1.7838923,1.4438149,0.9751014,0.20543481
MESH:C535836,1.2924684,1.4597137,0.3197775,0.20931965,0.11980595,0.48281172,1.5573289,0.71512383,2.154475,0.0,1.5157945,2.003189,2.743092,1.3316506,1.0757998,0.59174734,1.0987933,0.5938118,0.4999754,0.8565032,0.22916356,0.7458024,1.3237797,0.07760004,1.7029189,0.528957,0.26773292,2.0082328,1.5961071,0.78268975,0.4128576,0.53897,0.30227867,0.8665119,0.65374684,1.5872425,1.3648086,1.5013452,0.032105215,2.25163,1.1645422,2.0169141,1.3360693,2.4758513,0.9768742,0.96483135,1.4475492,1.0856962,1.5122588,0.18383318,0.29671055,0.85150814,0.65413326,0.05361397,1.1627603,0.06267508,1.5334756,0.52365816,0.18463592,0.56593245,0.8670224,1.8153468,1.5638119,2.159046,1.2142279,2.4619207,0.9113703,1.8326823,2.6327055,0.018974083,1.5800227,0.4144567,1.2990805,1.3633138,1.5864645,0.44305244,0.082428515,0.3091967,0.84009373,0.9426787,1.1603906,2.557907,0.26408517,0.6566576,0.71630734,2.1566362,2.085302,1.1474007,1.5370543,0.44851807,1.7829444,1.2067124,1.6289327,1.0312728,1.2300795,2.8399127,0.37064934,0.71072626,1.1794293,1.9491892
